Category,UI surface,Data or action,Direction,Browser protocol,HTTP method,Local endpoint,Request payload or frames,Response or displayed fields,Trigger or frequency,Frontend source,Local API handler,Agent source or service method,Local browser uses MQTT,Standalone remote equivalent
Status,Global header,Agent online or offline,Receive,HTTP,GET,/config,None,HTTP reachability status,"On application load and every 30 seconds",ui/src/lib/agent.ts,viewConfigEndpoint,Service.Config,No,snapshot.get RPC
Status,Global header,Agent identity,Receive,HTTP,GET,/health,None,"status; version; commit; build_time; instance_id","On application load",ui/src/lib/agent.ts,health,"Service.Health; build variables; operating-system hostname",No,health.get RPC
Status,Global header,Registered device count,Receive,HTTP,GET,/devices,None,"devices array length and active count","On load; every 60 seconds; after device event",ui/src/lib/agent.ts,listDevicesEndpoint,Service.ListDevices,No,devices.list RPC
Events,Global event client,"config; device; OTA change notifications",Receive,WebSocket,N/A,/ws,WebSocket connection,"Event type without full state payload","Continuous; reconnect after 3 seconds",ui/src/lib/agent.ts,WSHub.ServeHTTP,Service pushEvent callback,No,Gateway events WebSocket forwarding MQTT events
Overview,Overview card,Health and build identity,Receive,HTTP,GET,/health,None,"status; version; commit; description; build_time; instance_id","On page load and manual refresh",ui/src/pages/home.tsx,health,"Service.Health; build variables; operating-system hostname",No,health.get RPC
Overview,Overview card,Telemetry reader configuration,Receive,HTTP,GET,/config,None,"telemetry.interval; include_temperature; include_network; include_load","On page load and manual refresh",ui/src/pages/home.tsx,viewConfigEndpoint,Service.Config,No,snapshot.get RPC
Overview,Overview card,Runtime configuration,Receive,HTTP,GET,/config/runtime,None,"log_level; heartbeat_interval; telemetry_interval; terminal_session_timeout; command_secret; bs_valid","On page load and manual refresh",ui/src/pages/home.tsx,runtimeConfigGetEndpoint,Service.GetRuntimeConfig,No,Multiple config.get RPC calls
Overview,Overview lifecycle,"Pause; resume; reload configuration",Send and receive,HTTP,POST,/control,"JSON: command=stop|start|reload","Accepted control result","When user selects Pause; Resume; or Reload",ui/src/pages/home.tsx,controlEndpoint,Service.Control,No,control.execute RPC
Telemetry,Telemetry page,Telemetry configuration,Receive,HTTP,GET,/config,None,"interval and enabled telemetry readers","On page load and manual refresh",ui/src/pages/telemetry.tsx,viewConfigEndpoint,Service.Config,No,snapshot.get RPC
Telemetry,Telemetry page,Uptime,Receive,HTTP,GET,/telemetry/data,None,uptime seconds,"On load; every 5 seconds; manual refresh",ui/src/pages/telemetry.tsx,telemetryDataEndpoint,Service.Telemetry using process start time,No,telemetry.get RPC plus periodic gateway/telemetry topic
Telemetry,Telemetry page,Memory measurements,Receive,HTTP,GET,/telemetry/data,None,"mem_total; mem_used; mem_available","On load; every 5 seconds; manual refresh",ui/src/pages/telemetry.tsx,telemetryDataEndpoint,Service.Telemetry using operating-system memory statistics,No,telemetry.get RPC plus periodic gateway/telemetry topic
Telemetry,Telemetry page,CPU temperature,Receive,HTTP,GET,/telemetry/data,None,cpu_temperature when enabled and available,"On load; every 5 seconds; manual refresh",ui/src/pages/telemetry.tsx,telemetryDataEndpoint,Service.Telemetry using system thermal sensors,No,telemetry.get RPC plus periodic gateway/telemetry topic
Telemetry,Telemetry page,Network signal,Receive,HTTP,GET,/telemetry/data,None,RSSI when enabled and available,"On load; every 5 seconds; manual refresh",ui/src/pages/telemetry.tsx,telemetryDataEndpoint,Service.Telemetry using network-interface statistics,No,telemetry.get RPC plus periodic gateway/telemetry topic
Telemetry,Telemetry page,System load,Receive,HTTP,GET,/telemetry/data,None,"load average 1m; 5m; 15m","On load; every 5 seconds; manual refresh",ui/src/pages/telemetry.tsx,telemetryDataEndpoint,Service.Telemetry using operating-system load averages,No,telemetry.get RPC plus periodic gateway/telemetry topic
Telemetry,Telemetry page,Disk usage,Receive,HTTP,GET,/telemetry/data,None,disk usage percentage,"On load; every 5 seconds; manual refresh",ui/src/pages/telemetry.tsx,telemetryDataEndpoint,Service.Telemetry using filesystem statistics,No,telemetry.get RPC plus periodic gateway/telemetry topic
Telemetry,Telemetry page,Active device count,Receive,HTTP,GET,/telemetry/data,None,devices_active,"On load; every 5 seconds; manual refresh",ui/src/pages/telemetry.tsx,telemetryDataEndpoint,Service.Telemetry using device manager Count,No,telemetry.get RPC plus periodic gateway/telemetry topic
Health,Health page,Agent health details,Receive,HTTP,GET,/health,None,"status; version; commit; description; build_time; instance_id","On page load and manual refresh",ui/src/pages/health.tsx,health,"Service.Health; build variables; operating-system hostname",No,health.get RPC
Services,Services card,List registered services,Receive,HTTP,GET,/services,None,"service name; type; status; last-seen or liveness fields","On page load; refresh; after add or remove",ui/src/components/services-card.tsx,viewServicesEndpoint,Service.Services using in-memory heartbeat registry,No,services.list RPC
Services,Services card,Register service,Send and receive,HTTP,POST,/services,"JSON: name; type",Registration status,When user submits Add Service,ui/src/components/services-card.tsx,addServiceEndpoint,Service.RegisterService,No,services.add RPC
Services,Services card,Remove service,Send and receive,HTTP,DELETE,/services/{name},Service name in URL,Removal status,When user confirms removal,ui/src/components/services-card.tsx,removeServiceEndpoint,Service.RemoveService,No,services.remove RPC
Node-RED,Node-RED card,"Read status; read flows; deploy flows; execute runtime action",Send and receive,HTTP,POST,/nodered,"JSON: command and optional flows",Node-RED command response,"On page load and user actions",ui/src/components/nodered-card.tsx,nodeRedEndpoint,Service.NodeRed using local Node-RED Admin API client,No,nodered.execute RPC
Devices,Devices page,List registered downstream devices,Receive,HTTP,GET,/devices,None,"device ID; name; external ID; interface type; interface address; state; last seen","On page load; refresh; after mutation",ui/src/pages/devices.tsx,listDevicesEndpoint,Service.ListDevices using local device database,No,devices.list RPC
Devices,Devices page,Register downstream device,Send and receive,HTTP,POST,/devices,"JSON: name; ext_id; ext_key; interface_type; interface_addr",Created device or provisioning error,When user submits Add Device,ui/src/pages/devices.tsx,addDeviceEndpoint,Service.AddDevice and optional remote provisioning,No,devices.add RPC
Devices,Devices page,Remove downstream device,Send and receive,HTTP,DELETE,/devices/{id},Device ID in URL,Removal status,When user confirms removal,ui/src/pages/devices.tsx,removeDeviceEndpoint,Service.RemoveDevice,No,devices.remove RPC
Devices,Devices page,Mark device seen,Send and receive,HTTP,POST,/devices/{id}/seen,Device ID in URL,Updated liveness status,When user selects Mark Seen,ui/src/pages/devices.tsx,markDeviceSeenEndpoint,Service.MarkDeviceSeen,No,devices.seen RPC
